Manufacturer,Model,Diameter,Stroke,Initial Length,Initial Pressure,Initial Force,Final Force (iso),Final Force (poly),Max Speed,Mass
Special Springs,RV170-007-C,19,7,44,180,1700,2740,3200,1.8,0.06
Special Springs,RV170-010-C,19,10,50,180,1700,2850,3370,1.8,0.06
Special Springs,RV170-013-C,19,13,56,180,1700,2920,3480,1.8,0.07
Special Springs,RV170-015-C,19,15,60,180,1700,2960,3530,1.8,0.07
Special Springs,RV170-019-C,19,19,68,180,1700,3010,3610,1.8,0.07
Special Springs,RV170-025-C,19,25,80,180,1700,3060,3690,1.8,0.08
Special Springs,RV170-032-C,19,32,94,180,1700,3100,3740,1.8,0.09
Special Springs,RV170-038-C,19,38,106,180,1700,3120,3780,1.8,0.09
Special Springs,RV170-050-C,19,50,130,180,1700,3150,3820,1.8,0.11
Special Springs,RV170-063-C,19,63,156,180,1700,3170,3850,1.8,0.12
Special Springs,RV170-075-C,19,75,185,180,1700,3180,3870,1.8,0.14
Special Springs,RV170-080-C,19,80,195,180,1700,3190,3880,1.8,0.14
Special Springs,RV170-100-C,19,100,235,180,1700,3200,3900,1.8,0.16
Special Springs,RV170-125-C,19,125,285,180,1700,3210,3910,1.8,0.19
Special Springs,RV320-007-C,25,7,44,180,3200,4710,5400,1.8,0.10
Special Springs,RV320-010-C,25,10,50,180,3200,4950,5740,1.8,0.10
Special Springs,RV320-013-C,25,13,56,180,3200,5110,5980,1.8,0.11
Special Springs,RV320-015-C,25,15,60,180,3200,5190,6100,1.8,0.11
Special Springs,RV320-019-C,25,19,68,180,3200,5310,6280,1.8,0.12
Special Springs,RV320-025-C,25,25,80,180,3200,5440,6570,1.8,0.13
Special Springs,RV320-032-C,25,32,94,180,3200,5530,6610,1.8,0.14
Special Springs,RV320-038-C,25,38,106,180,3200,5590,6690,1.8,0.15
Special Springs,RV320-050-C,25,50,130,180,3200,5670,6810,1.8,0.17
Special Springs,RV320-063-C,25,63,156,180,3200,5720,6890,1.8,0.19
Special Springs,RV320-075-C,25,75,185,180,3200,5700,6860,1.8,0.22
